TIME_PERIOD,OBS_VALUE
1988-02,100.3286
1988-03,100.3581
1988-04,100.4168
1988-05,100.4913
1988-06,100.5602
1988-07,100.6015
1988-08,100.6195
1988-09,100.6236
1988-10,100.6223
1988-11,100.6158
1988-12,100.5962
1989-01,100.5408
1989-02,100.4315
1989-03,100.2754
1989-04,100.0997
1989-05,99.93093
1989-06,99.79988
1989-07,99.71895
1989-08,99.68656
1989-09,99.68787
1989-10,99.70153
1989-11,99.72497
1989-12,99.75523
1990-01,99.78974
1990-02,99.82064
1990-03,99.82035
1990-04,99.74539
1990-05,99.57446
1990-06,99.2878
1990-07,98.89114
1990-08,98.41575
1990-09,97.93436
1990-10,97.51614
1990-11,97.22665
1990-12,97.11147
1991-01,97.17046
1991-02,97.38683
1991-03,97.7088
1991-04,98.07617
1991-05,98.44571
1991-06,98.78404
1991-07,99.04364
1991-08,99.18541
1991-09,99.21586
1991-10,99.16766
1991-11,99.09517
1991-12,99.06206
1992-01,99.11299
1992-02,99.23952
1992-03,99.40977
1992-04,99.56392
1992-05,99.66145
1992-06,99.69044
1992-07,99.67917
1992-08,99.6685
1992-09,99.70158
1992-10,99.80251
1992-11,99.94878
1992-12,100.08
1993-01,100.1439
1993-02,100.127
1993-03,100.0354
1993-04,99.90094
1993-05,99.74451
1993-06,99.61311
1993-07,99.5417
1993-08,99.55594
1993-09,99.66177
1993-10,99.84927
1993-11,100.0874
1993-12,100.3512
1994-01,100.5984
1994-02,100.8004
1994-03,100.9509
1994-04,101.0462
1994-05,101.0889
1994-06,101.085
1994-07,101.0491
1994-08,100.9963
1994-09,100.9278
1994-10,100.8361
1994-11,100.6977
1994-12,100.5016
1995-01,100.2427
1995-02,99.92303
1995-03,99.57408
1995-04,99.24915
1995-05,98.99245
1995-06,98.82132
1995-07,98.72249
1995-08,98.66119
1995-09,98.60851
1995-10,98.56432
1995-11,98.54333
1995-12,98.56048
1996-01,98.62787
1996-02,98.75314
1996-03,98.92371
1996-04,99.10387
1996-05,99.2724
1996-06,99.40904
1996-07,99.50443
1996-08,99.57979
1996-09,99.65124
1996-10,99.72395
1996-11,99.80655
1996-12,99.89535
1997-01,99.99935
1997-02,100.1269
1997-03,100.2642
1997-04,100.4066
1997-05,100.5488
1997-06,100.685
1997-07,100.8044
1997-08,100.8904
1997-09,100.9479
1997-10,100.9782
1997-11,100.9755
1997-12,100.9389
1998-01,100.8858
1998-02,100.8168
1998-03,100.7137
1998-04,100.5738
1998-05,100.3988
1998-06,100.2004
1998-07,100.0093
1998-08,99.84978
1998-09,99.754
1998-10,99.7564
1998-11,99.86003
1998-12,100.0281
1999-01,100.2354
1999-02,100.4464
1999-03,100.6364
1999-04,100.8031
1999-05,100.946
1999-06,101.0549
1999-07,101.133
1999-08,101.1899
1999-09,101.2395
1999-10,101.2903
1999-11,101.3427
1999-12,101.3786
2000-01,101.3717
2000-02,101.3058
2000-03,101.2088
2000-04,101.0895
2000-05,100.9424
2000-06,100.7767
2000-07,100.5929
2000-08,100.3767
2000-09,100.1252
2000-10,99.82177
2000-11,99.47673
2000-12,99.10542
2001-01,98.76692
2001-02,98.50764
2001-03,98.3402
2001-04,98.25621
2001-05,98.23042
2001-06,98.20797
2001-07,98.16424
2001-08,98.10209
2001-09,98.06206
2001-10,98.11389
2001-11,98.28361
2001-12,98.55009
2002-01,98.85872
2002-02,99.1515
2002-03,99.37188
2002-04,99.46398
2002-05,99.40781
2002-06,99.21211
2002-07,98.92966
2002-08,98.62782
2002-09,98.34755
2002-10,98.12679
2002-11,97.98065
2002-12,97.88223
2003-01,97.80997
2003-02,97.77452
2003-03,97.80821
2003-04,97.93874
2003-05,98.16115
2003-06,98.44906
2003-07,98.78804
2003-08,99.16693
2003-09,99.57355
2003-10,99.98593
2003-11,100.3706
2003-12,100.6938
2004-01,100.9379
2004-02,101.0844
2004-03,101.1497
2004-04,101.1483
2004-05,101.1017
2004-06,101.0199
2004-07,100.9096
2004-08,100.7876
2004-09,100.6812
2004-10,100.6089
2004-11,100.5792
2004-12,100.5652
2005-01,100.5308
2005-02,100.4689
2005-03,100.3909
2005-04,100.3333
2005-05,100.3217
2005-06,100.3541
2005-07,100.406
2005-08,100.4806
2005-09,100.5907
2005-10,100.746
2005-11,100.9311
2005-12,101.1062
2006-01,101.2409
2006-02,101.3256
2006-03,101.3546
2006-04,101.3246
2006-05,101.2603
2006-06,101.2009
2006-07,101.1659
2006-08,101.177
2006-09,101.2403
2006-10,101.3357
2006-11,101.4499
2006-12,101.5731
2007-01,101.6932
2007-02,101.8112
2007-03,101.9335
2007-04,102.0495
2007-05,102.1378
2007-06,102.1839
2007-07,102.1714
2007-08,102.0972
2007-09,101.9893
2007-10,101.8684
2007-11,101.74
2007-12,101.6161
2008-01,101.4872
2008-02,101.341
2008-03,101.1796
2008-04,100.9779
2008-05,100.7017
2008-06,100.3118
2008-07,99.77343
2008-08,99.07243
2008-09,98.22375
2008-10,97.29099
2008-11,96.39775
2008-12,95.64577
2009-01,95.09971
2009-02,94.79717
2009-03,94.75557
2009-04,94.96438
2009-05,95.3546
2009-06,95.85468
2009-07,96.40168
2009-08,96.95461
2009-09,97.4837
2009-10,97.97353
2009-11,98.42359
2009-12,98.8372
2010-01,99.19395
2010-02,99.45856
2010-03,99.63489
2010-04,99.70604
2010-05,99.68248
2010-06,99.60434
2010-07,99.53703
2010-08,99.53104
2010-09,99.59862
2010-10,99.72746
2010-11,99.90835
2010-12,100.1015
2011-01,100.2659
2011-02,100.3659
2011-03,100.3655
2011-04,100.2615
2011-05,100.0658
2011-06,99.80077
2011-07,99.51588
2011-08,99.27441
2011-09,99.14584
2011-10,99.16169
2011-11,99.30286
2011-12,99.51782
2012-01,99.73342
2012-02,99.88471
2012-03,99.94405
2012-04,99.91504
2012-05,99.82119
2012-06,99.70323
2012-07,99.61215
2012-08,99.57496
2012-09,99.6064
2012-10,99.68047
2012-11,99.77912
2012-12,99.90382
2013-01,100.0484
2013-02,100.1962
2013-03,100.3207
2013-04,100.4366
2013-05,100.5508
2013-06,100.6406
2013-07,100.6943
2013-08,100.7247
2013-09,100.7374
2013-10,100.7421
2013-11,100.747
2013-12,100.7408
2014-01,100.7293
2014-02,100.7472
2014-03,100.7946
2014-04,100.8523
2014-05,100.9022
2014-06,100.9374
2014-07,100.9532
2014-08,100.9531
2014-09,100.9403
2014-10,100.9104
2014-11,100.8628
2014-12,100.7926
2015-01,100.7009
2015-02,100.5945
2015-03,100.4847
2015-04,100.3756
2015-05,100.2604
2015-06,100.134
2015-07,99.9744
2015-08,99.79232
2015-09,99.61617
2015-10,99.4707
2015-11,99.34878
2015-12,99.24486
2016-01,99.16203
2016-02,99.10673
2016-03,99.08955
2016-04,99.09125
2016-05,99.09591
2016-06,99.09756
2016-07,99.11472
2016-08,99.16019
2016-09,99.24849
2016-10,99.37511
2016-11,99.5241
2016-12,99.67526
2017-01,99.79755
2017-02,99.87806
2017-03,99.91711
2017-04,99.93004
2017-05,99.93724
2017-06,99.95444
2017-07,99.98786
2017-08,100.0625
2017-09,100.1696
2017-10,100.2974
2017-11,100.4279
2017-12,100.5567
2018-01,100.6843
2018-02,100.7995
2018-03,100.87
2018-04,100.89
2018-05,100.8711
2018-06,100.8226
2018-07,100.747
2018-08,100.6457
2018-09,100.503
2018-10,100.3145
2018-11,100.0973
2018-12,99.87427
2019-01,99.66708
2019-02,99.49279
2019-03,99.3506
2019-04,99.21867
2019-05,99.09663
2019-06,98.99065
2019-07,98.90633
2019-08,98.85255
2019-09,98.8544
2019-10,98.90778
2019-11,98.98977
2019-12,99.06838
2020-01,99.10507
2020-02,99.06925
2020-03,97.68043
2020-04,92.79109
2020-05,94.32816
2020-06,96.13841
2020-07,97.74959
2020-08,98.44802
2020-09,98.74708
2020-10,99.11544
2020-11,99.51669
2020-12,99.93729
2021-01,100.3149
2021-02,100.689
2021-03,101.0109
2021-04,101.2737
2021-05,101.3433
2021-06,101.3427
2021-07,101.2914
2021-08,101.2201
2021-09,101.1619
2021-10,101.1233
2021-11,101.0916
2021-12,101.0412
2022-01,100.9543
2022-02,100.8216
2022-03,100.627
2022-04,100.3701
2022-05,100.0578
2022-06,99.73762
2022-07,99.46284
2022-08,99.25039
2022-09,99.08558
2022-10,98.95854
2022-11,98.86188
2022-12,98.80082
2023-01,98.76514
