Year,Month,Day,Leading_index
2001,1,2,98.76692
2001,1,3,98.76692
2001,1,4,98.76692
2001,1,5,98.76692
2001,1,6,98.76692
2001,1,7,98.76692
2001,1,8,98.76692
2001,1,9,98.76692
2001,1,10,98.76692
2001,1,11,98.76692
2001,1,12,98.76692
2001,1,13,98.76692
2001,1,14,98.76692
2001,1,15,98.76692
2001,1,16,98.76692
2001,1,17,98.76692
2001,1,18,98.76692
2001,1,19,98.76692
2001,1,20,98.76692
2001,1,21,98.76692
2001,1,22,98.76692
2001,1,23,98.76692
2001,1,24,98.76692
2001,1,25,98.76692
2001,1,26,98.76692
2001,1,27,98.76692
2001,1,28,98.76692
2001,1,29,98.76692
2001,1,30,98.76692
2001,1,31,98.76692
2001,2,1,98.50764
2001,2,2,98.50764
2001,2,3,98.50764
2001,2,4,98.50764
2001,2,5,98.50764
2001,2,6,98.50764
2001,2,7,98.50764
2001,2,8,98.50764
2001,2,9,98.50764
2001,2,10,98.50764
2001,2,11,98.50764
2001,2,12,98.50764
2001,2,13,98.50764
2001,2,14,98.50764
2001,2,15,98.50764
2001,2,16,98.50764
2001,2,17,98.50764
2001,2,18,98.50764
2001,2,19,98.50764
2001,2,20,98.50764
2001,2,21,98.50764
2001,2,22,98.50764
2001,2,23,98.50764
2001,2,24,98.50764
2001,2,25,98.50764
2001,2,26,98.50764
2001,2,27,98.50764
2001,2,28,98.50764
2001,3,1,98.3402
2001,3,2,98.3402
2001,3,3,98.3402
2001,3,4,98.3402
2001,3,5,98.3402
2001,3,6,98.3402
2001,3,7,98.3402
2001,3,8,98.3402
2001,3,9,98.3402
2001,3,10,98.3402
2001,3,11,98.3402
2001,3,12,98.3402
2001,3,13,98.3402
2001,3,14,98.3402
2001,3,15,98.3402
2001,3,16,98.3402
2001,3,17,98.3402
2001,3,18,98.3402
2001,3,19,98.3402
2001,3,20,98.3402
2001,3,21,98.3402
2001,3,22,98.3402
2001,3,23,98.3402
2001,3,24,98.3402
2001,3,25,98.3402
2001,3,26,98.3402
2001,3,27,98.3402
2001,3,28,98.3402
2001,3,29,98.3402
2001,3,30,98.3402
2001,3,31,98.3402
2001,4,1,98.25621
2001,4,2,98.25621
2001,4,3,98.25621
2001,4,4,98.25621
2001,4,5,98.25621
2001,4,6,98.25621
2001,4,7,98.25621
2001,4,8,98.25621
2001,4,9,98.25621
2001,4,10,98.25621
2001,4,11,98.25621
2001,4,12,98.25621
2001,4,13,98.25621
2001,4,14,98.25621
2001,4,15,98.25621
2001,4,16,98.25621
2001,4,17,98.25621
2001,4,18,98.25621
2001,4,19,98.25621
2001,4,20,98.25621
2001,4,21,98.25621
2001,4,22,98.25621
2001,4,23,98.25621
2001,4,24,98.25621
2001,4,25,98.25621
2001,4,26,98.25621
2001,4,27,98.25621
2001,4,28,98.25621
2001,4,29,98.25621
2001,4,30,98.25621
2001,5,1,98.23042
2001,5,2,98.23042
2001,5,3,98.23042
2001,5,4,98.23042
