Year,Month,Day,LeadingIndex
2012,Dec,20,-0.2%
2012,Nov,21,0.2%
2012,Oct,18,0.6%
2012,Sep,20,-0.1%
2012,Aug,17,0.4%
2012,Jul,19,-0.3%
2012,Jun,21,0.3%
2012,May,17,-0.1%
2012,Apr,19,0.3%
2012,Mar,22,0.7%
2012,Feb,17,0.4%
2012,Jan,26,0.4%
2011,Dec,22,0.5%
2011,Nov,18,0.9%
2011,Oct,20,0.2%
2011,Sep,22,0.3%
2011,Aug,18,0.5%
2011,Jul,21,0.3%
2011,Jun,17,0.8%
2011,May,19,-0.3%
2011,Apr,21,0.4%
2011,Mar,17,0.8%
2011,Feb,17,0.1%
2011,Jan,20,1%
2010,Dec,17,1.1%
2010,Nov,18,0.5%
2010,Oct,21,0.3%
2010,Sep,23,0.3%
2010,Aug,19,0.1%
2010,Jul,22,-0.2%
2010,Jun,17,0.4%
2010,May,20,-0.1%
2010,Apr,19,1.4%
2010,Mar,18,0.1%
2010,Feb,18,0.3%
2010,Jan,21,1.1%
2009,Dec,17,0.9%
2009,Nov,19,0.3%
2009,Oct,22,1%
2009,Sep,21,0.6%
2009,Aug,20,0.6%
2009,Jul,20,0.7%
2009,Jun,18,1.2%
2009,May,21,1%
2009,Apr,20,-0.3%
2009,Mar,19,-0.4%
2009,Feb,19,0.4%
2009,Jan,26,0.3%
2008,Dec,18,-0.4%
2008,Nov,20,-0.8%
2008,Oct,20,0.3%
2008,Sep,18,-0.5%
2008,Aug,21,-0.7%
2008,Jul,21,-0.1%
2008,Jun,19,0.1%
2008,May,19,0.1%
2008,Apr,17,0.1%
2008,Mar,20,-0.3%
2008,Feb,21,-0.1%
2008,Jan,18,-0.2%
2007,Dec,20,-0.4%
2007,Nov,21,-0.5%
2007,Oct,18,0.3%
2007,Sep,20,-0.6%
2007,Aug,20,0.4%
2007,Jul,19,-0.3%
2007,Jun,21,0.3%
2007,May,17,-0.5%
2007,Apr,19,0.1%
2007,Mar,22,-0.5%
2007,Feb,21,0.1%
