Year,Month,Day,CPI,DfF,GDP,Leading_index,Manufacturing_PMI,Services_PMI,Unemployment_Rate,Closing price
2000,3,17,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,18,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,19,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,20,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,21,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,22,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,23,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,24,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,25,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,26,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,27,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,28,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,29,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,30,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,31,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,4,1,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,2,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,3,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,4,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,5,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,6,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,7,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,8,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,9,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,10,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,11,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,12,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,13,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,14,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,15,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,16,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,17,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,18,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,19,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
2000,4,20,78.9707207568715,,10250952000000.0,101.0895,,,3.992,
